Timestamp,Container,Status,CPU%,Memory_MB,Memory%,Restart_Count,Trade_Count,Decision_Count,Error_Count
2025-10-10 22:18:49,ngtradingbot_server,RUNNING,10.31,164.4,0.17,0,,,17
2025-10-10 22:18:51,ngtradingbot_db,RUNNING,3.02,134.2,0.14,0,0,0,0
2025-10-10 22:18:53,ngtradingbot_redis,RUNNING,0.45,12.47,0.01,0,0,0,0
2025-10-10 22:18:55,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:18:57,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:19:59,ngtradingbot_server,RUNNING,10.23,164.8,0.17,0,,,24
2025-10-10 22:20:01,ngtradingbot_db,RUNNING,5.71,139.1,0.14,0,0,0,0
2025-10-10 22:20:03,ngtradingbot_redis,RUNNING,2.19,13.34,0.01,0,0,0,0
2025-10-10 22:20:05,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:20:07,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:21:09,ngtradingbot_server,RUNNING,15.80,149,0.15,0,,,3
2025-10-10 22:21:11,ngtradingbot_db,RUNNING,4.53,117.8,0.12,0,0,0,0
2025-10-10 22:21:13,ngtradingbot_redis,RUNNING,2.08,10.61,0.01,0,0,0,0
2025-10-10 22:21:15,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:21:17,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:22:19,ngtradingbot_server,RUNNING,41.05,155.7,0.16,0,,,3
2025-10-10 22:22:20,ngtradingbot_db,RUNNING,3.03,129.3,0.13,0,0,0,0
2025-10-10 22:22:22,ngtradingbot_redis,RUNNING,0.50,10.72,0.01,0,0,0,0
2025-10-10 22:22:24,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:22:26,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:23:28,ngtradingbot_server,RUNNING,7.57,156,0.16,0,,,6
2025-10-10 22:23:30,ngtradingbot_db,RUNNING,3.00,129.5,0.13,0,0,0,0
2025-10-10 22:23:32,ngtradingbot_redis,RUNNING,0.47,11.17,0.01,0,0,0,0
2025-10-10 22:23:34,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:23:36,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:24:38,ngtradingbot_server,RUNNING,11.04,164.2,0.17,0,,,14
2025-10-10 22:24:40,ngtradingbot_db,RUNNING,4.24,128.3,0.13,0,0,0,0
2025-10-10 22:24:42,ngtradingbot_redis,RUNNING,0.52,11.11,0.01,0,0,0,0
2025-10-10 22:24:44,ngtradingbot_news_fetch,RUNNING,0.00,47.1,0.05,0,0,0,0
2025-10-10 22:24:46,ngtradingbot_decision_cleanup,RUNNING,0.00,41.75,0.04,0,0,0,0
2025-10-10 22:25:48,ngtradingbot_server,RUNNING,53.94,148.4,0.15,0,,,3
2025-10-10 22:25:49,ngtradingbot_db,RUNNING,3.30,114.2,0.12,0,0,0,0
2025-10-10 22:25:51,ngtradingbot_redis,RUNNING,0.51,16.81,0.02,0,0,0,0
2025-10-10 22:25:53,ngtradingbot_news_fetch,RUNNING,0.00,47.9,0.05,0,0,0,0
2025-10-10 22:25:55,ngtradingbot_decision_cleanup,RUNNING,0.00,42.68,0.04,0,0,0,0
2025-10-10 22:26:57,ngtradingbot_server,RUNNING,12.56,162.1,0.17,0,,,5
2025-10-10 22:26:59,ngtradingbot_db,RUNNING,3.93,124.7,0.13,0,0,0,0
2025-10-10 22:27:01,ngtradingbot_redis,RUNNING,0.49,17.14,0.02,0,0,0,0
2025-10-10 22:27:03,ngtradingbot_news_fetch,RUNNING,0.00,47.9,0.05,0,0,0,0
2025-10-10 22:27:05,ngtradingbot_decision_cleanup,RUNNING,0.00,42.69,0.04,0,0,0,0
2025-10-10 22:28:07,ngtradingbot_server,RUNNING,11.98,163.8,0.17,0,,,5
2025-10-10 22:28:09,ngtradingbot_db,RUNNING,3.64,128.5,0.13,0,0,0,0
2025-10-10 22:28:11,ngtradingbot_redis,RUNNING,1.06,17.54,0.02,0,0,0,0
2025-10-10 22:28:13,ngtradingbot_news_fetch,RUNNING,0.00,51.76,0.05,0,0,0,0
2025-10-10 22:28:15,ngtradingbot_decision_cleanup,RUNNING,0.00,46.75,0.05,0,0,0,0
2025-10-10 22:29:17,ngtradingbot_server,RUNNING,10.04,174.1,0.18,0,,,11
2025-10-10 22:29:18,ngtradingbot_db,RUNNING,7.24,141,0.15,0,0,0,0
2025-10-10 22:29:20,ngtradingbot_redis,RUNNING,0.50,20.42,0.02,0,0,0,0
2025-10-10 22:29:22,ngtradingbot_news_fetch,RUNNING,0.00,54.57,0.06,0,0,0,0
2025-10-10 22:29:24,ngtradingbot_decision_cleanup,RUNNING,0.00,47.5,0.05,0,0,0,0
2025-10-10 22:30:26,ngtradingbot_server,RUNNING,10.78,174.5,0.18,0,,,14
2025-10-10 22:30:28,ngtradingbot_db,RUNNING,4.99,144.2,0.15,0,0,0,0
2025-10-10 22:30:30,ngtradingbot_redis,RUNNING,0.49,20.59,0.02,0,0,0,0
2025-10-10 22:30:32,ngtradingbot_news_fetch,RUNNING,0.00,54.57,0.06,0,0,0,0
2025-10-10 22:30:34,ngtradingbot_decision_cleanup,RUNNING,0.00,47.5,0.05,0,0,0,0
